"REF_DATE","GEO","DGUID","Cannabis price","Units of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1963","Prince Edward Island","2016A000211","Producer price","Price per gram","Dollars","81","units ","0","v1001799979","4.2.1","3.71","","","","2"
"1963","Prince Edward Island","2016A000211","Producer price","Price index","2012=100","383","units ","0","v1001799980","4.2.2","52.1","","","","1"
"1963","Nova Scotia","2016A000212","Consumer price","Price per gram","Dollars","81","units ","0","v1001799945","5.1.1","4.86","","","","2"
"1963","Nova Scotia","2016A000212","Consumer price","Price index","2012=100","383","units ","0","v1001799946","5.1.2","52.7","","","","1"
"1963","Nova Scotia","2016A000212","Producer price","Price per gram","Dollars","81","units ","0","v1001799981","5.2.1","3.60","","","","2"
"1963","Nova Scotia","2016A000212","Producer price","Price index","2012=100","383","units ","0","v1001799982","5.2.2","53.7","","","","1"
"1963","New Brunswick","2016A000213","Consumer price","Price per gram","Dollars","81","units ","0","v1001799947","6.1.1","4.33","","","","2"
"1963","New Brunswick","2016A000213","Consumer price","Price index","2012=100","383","units ","0","v1001799948","6.1.2","51.7","","","","1"
"1963","New Brunswick","2016A000213","Producer price","Price per gram","Dollars","81","units ","0","v1001799983","6.2.1","3.20","","","","2"
"1963","New Brunswick","2016A000213","Producer price","Price index","2012=100","383","units ","0","v1001799984","6.2.2","52.5","","","","1"
"1963","Quebec","2016A000224","Consumer price","Price per gram","Dollars","81","units ","0","v1001799949","7.1.1","3.91","","","","2"
"1963","Quebec","2016A000224","Consumer price","Price index","2012=100","383","units ","0","v1001799950","7.1.2","51.5","","","","1"
"1963","Quebec","2016A000224","Producer price","Price per gram","Dollars","81","units ","0","v1001799985","7.2.1","2.85","","","","2"
"1963","Quebec","2016A000224","Producer price","Price index","2012=100","383","units ","0","v1001799986","7.2.2","57.5","","","","1"
"1963","Ontario","2016A000235","Consumer price","Price per gram","Dollars","81","units ","0","v1001799951","8.1.1","4.74","","","","2"
"1963","Ontario","2016A000235","Consumer price","Price index","2012=100","383","units ","0","v1001799952","8.1.2","52.0","","","","1"
"1963","Ontario","2016A000235","Producer price","Price per gram","Dollars","81","units ","0","v1001799987","8.2.1","2.72","","","","2"
"1963","Ontario","2016A000235","Producer price","Price index","2012=100","383","units ","0","v1001799988","8.2.2","65.8","","","","1"
"1963","Prairies","2016A00014","Consumer price","Price per gram","Dollars","81","units ","0","v1001799953","9.1.1","4.80","","","","2"
"1963","Prairies","2016A00014","Consumer price","Price index","2012=100","383","units ","0","v1001799954","9.1.2","52.9","","","","1"
"1963","Prairies","2016A00014","Producer price","Price per gram","Dollars","81","units ","0","v1001799989","9.2.1","3.56","","","","2"
"1963","Prairies","2016A00014","Producer price","Price index","2012=100","383","units ","0","v1001799990","9.2.2","53.7","","","","1"
"1963","Manitoba","2016A000246","Consumer price","Price per gram","Dollars","81","units ","0","v1001799955","10.1.1","4.78","","","","2"
"1963","Manitoba","2016A000246","Consumer price","Price index","2012=100","383","units ","0","v1001799956","10.1.2","52.7","","","","1"
"1963","Manitoba","2016A000246","Producer price","Price per gram","Dollars","81","units ","0","v1001799991","10.2.1","3.55","","","","2"
"1963","Manitoba","2016A000246","Producer price","Price index","2012=100","383","units ","0","v1001799992","10.2.2","53.4","","","","1"
"1963","Saskatchewan","2016A000247","Consumer price","Price per gram","Dollars","81","units ","0","v1001799957","11.1.1","4.85","","","","2"
"1963","Saskatchewan","2016A000247","Consumer price","Price index","2012=100","383","units ","0","v1001799958","11.1.2","53.2","","","","1"
"1963","Saskatchewan","2016A000247","Producer price","Price per gram","Dollars","81","units ","0","v1001799993","11.2.1","3.61","","","","2"
"1963","Saskatchewan","2016A000247","Producer price","Price index","2012=100","383","units ","0","v1001799994","11.2.2","54.1","","","","1"
"1963","Alberta","2016A000248","Consumer price","Price per gram","Dollars","81","units ","0","v1001799959","12.1.1","4.78","","","","2"
"1963","Alberta","2016A000248","Consumer price","Price index","2012=100","383","units ","0","v1001799960","12.1.2","52.8","","","","1"
"1963","Alberta","2016A000248","Producer price","Price per gram","Dollars","81","units ","0","v1001799995","12.2.1","3.55","","","","2"
